title;name;publishedAtDate;stars;text;;;;;;;;;;;;;
Sembilan Beach;Taji Sanditias Zuhro;2023-06-02T16:22:22.788Z;5;Bagus.  Tersedia tempat penginapannya jg 300-500rb per malam;;;;;;;;;;;;;
Sembilan Beach;Halilintar Putra;2023-05-29T07:53:16.456Z;5;Alam yg indah dan masih asri.;;;;;;;;;;;;;
Sembilan Beach;binar andaru;2023-05-21T03:14:46.454Z;5;Cocok buat liburan keluarga berpasir putih;;;;;;;;;;;;;
Sembilan Beach;Luthfi Alvin;2023-05-19T07:52:58.672Z;5;Pantai ini sangat indah lautnya biru bening dan masih asri;;;;;;;;;;;;;
Sembilan Beach;Teguh Sando;2023-05-16T11:41:28.235Z;5;Pantainya masih alami.. suejuk.... indahnya matahri terbit..malamnya indah sunyi;;;;;;;;;;;;;
Sembilan Beach;Ilham Ramadani;2023-05-16T07:21:32.911Z;5;Bagus pantainya tp kadang kurang di manage;;;;;;;;;;;;;
Sembilan Beach;Eko Budiyono;2023-05-04T07:44:15.633Z;5;Tempat yg sangat bagus untuk istirahat;;;;;;;;;;;;;
Sembilan Beach;dimi ismanto;2023-05-03T16:38:32.024Z;5;"Pantai ini indah sekali terletak di Pulau Gili Genting . Tenang. Dan cukup bersih...untuk mencapainya...perlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep. Motor maupun mobil dititipkan di rumah penduduk dengan tarif 10rb utk motor kcuali utk menginap tarifnya lebih mahal . Harga karcis penyeberangan 15rb- Sekali jalan.. untuk Motor bisa diangkut sekalian dengan kapal. 15rb. satu perahu bisa muat skitar 18 motor dan berpuluh penumpang. Cukup banyak Kepala Kluarga yg tinggal di pulau Gili Genting.. Di pulau sembilan  ada bbrp resort / kamar ( beruba bangunan kayu) yg disewakan bagi yg berminat bermalam . Ada juga Kemah . Air laut sungguh jernih... Penduduk sangat ramah... Menyapa dan mengajak ngobrol .. Kapal terakhir kembali ke pelabuhan Tanjung skitar pk 17.00. Sungguh tempat yg nyaman utk berlibur bersama keluarga...""";;;;;;;;;;;;;
Sembilan Beach;Faisal Ibrahim;2023-05-03T08:06:38.556Z;1; pantainya mirip2 lombang. Jauh2 nyebrang pake perahu  mending lombang aja;;;;;;;;;;;;;
Sembilan Beach;Ahmad Rofiu Syakir;2023-05-02T00:28:56.782Z;5;"Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfoto-foto ria dan wahana permainan yg tentunya seru untuk dimainkan, dan di sini juga banyak rumah"" kecil yg bisa di sewa untuk istirahat, serta yg tak kalah seru yaitu pada saat kita mau ke pulau ini kita naik kapal penyebrangan yg pastinya seru bagi kita yg belum pernah merasakan nya, terbaik lahhh pokok nya."; malahan lebih bagus tahun kemaren;;;;;;;;;;;;
Sembilan Beach;Uzaay Sanderos;2023-05-01T06:01:21.247Z;4;Tidak di update;;;;;;;;;;;;;
Sembilan Beach;rizki anwar;2023-04-27T23:36:41.920Z;5;Bagus untuk sore dan malam;;;;;;;;;;;;;
Sembilan Beach;Heni Rahem;2023-04-27T04:49:40.920Z;5;Pantainya bagus??;;;;;;;;;;;;;
Sembilan Beach;Abdul Hamed;2023-04-26T12:14:06.664Z;5;Tempat ternyaman penyebrangan dg kapal hanya sebentar. Untuk teman2 yg berkunjung ikut jaga kebersihan pantai ya buang sampah pd tempat yg sdh disediakan ?;;;;;;;;;;;;;
Sembilan Beach;Venus;2023-03-26T02:54:06.561Z;5;Pantai pasir putih yg indah salah satunya gili genting ;;;;;;;;;;;;;
Sembilan Beach;Dewi Nindita;2023-03-23T11:39:09.250Z;5;Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati;; pantai sembilan. Kalo dr sumenepnya nyebrang 30 menit aja. Ohiya ; perahunya cuman bisa angkut manusia dan motor serta barangı lainya. Kalo uda sampe pantainya; Bisa langsung lihat sunset; dan ada cottageı juga yg rekomen; apa lagi dekat pantai langsung. Sedap dipandang mata; deburan ombaknya tidak terlalu ramai ya; buat mandi juga oke; bersama keluarga; rekanı dan pasangan. Dan jangan lupa pasang sunblok biar ga terlalu gosong ya gaes. Happy liburan..;;;
Sembilan Beach;Novix Heryadi;2023-02-24T11:35:22.468Z;5;suasana mlm semakin asik..;;;;;;;;;;;;;
Sembilan Beach;mikhail rinaldi;2023-02-19T04:31:42.758Z;4;Pasir putihnya bagus. Sayang kurang dijaga kebersihannya;;;;;;;;;;;;;
Sembilan Beach;anna Rakhma;2023-02-13T15:49:08.856Z;5;Wooow.. Beautiful Private beach;;;;;;;;;;;;;
Sembilan Beach;Muhammad mukti;2023-02-12T03:47:19.586Z;4;"Pantainya bagus. Pasir putih ombak juga gak gede2. Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes. Parkir bisa di dekat situ. Kisaran 5k untuk sepeda motor. Untuk jadwal kapal dari pagi sampai terakhir jam 5 sore. Terakhir ke sini biaya sekali nyebrang 15k. Kalau mau bawa motor bisa juga. Kurang tau tambahan biayanya berapa. Worth it sih tempatnya. Tapi sekarang udah banyak fasilitas yang rusak dan tidak terawat. Termasuk dermaga yang instragramable ada lampu2nya sekarang udah hilang Wkwk. Kalau mau nginep juga disediakan penginapan ala2 cottage. Saran sih kalau mau muterin pulaunya mending bawa motor lebih enak.""";;;;;;;;;;;;;
Sembilan Beach;lusi oktavia;2023-02-04T23:24:31.607Z;5;Bagus asal mau explore pakek motor;;;;;;;;;;;;;
Sembilan Beach;Ahmad Iqbal;2023-01-24T03:43:23.479Z;5;Cocok untuk mancing;;;;;;;;;;;;;
Sembilan Beach;M Fadhil;2023-01-06T03:44:47.362Z;2;Kurang perawatan.;;;;;;;;;;;;;
Sembilan Beach;Andi ?Om Ganteng? Witoyo;2023-01-02T10:16:56.419Z;4;Harga penginapan terjangkau tiket menyebrang naik kapal 15.000.......warung buka 24 jam;;;;;;;;;;;;;
Sembilan Beach;fauroo sablenk;2023-01-02T08:36:02.629Z;5;tetap semangat;;;;;;;;;;;;;
Sembilan Beach;Fera Rahayu;2022-12-27T22:08:05.009Z;5;Bagus sayang sedang badai;;;;;;;;;;;;;
Sembilan Beach;Abdul Azis;2022-12-26T05:36:20.550Z;5;Sangat recomended buat liburan bersih dan satu lagi ramah anak serta keluarga;;;;;;;;;;;;;
Sembilan Beach;Hamdhan Dhans;2022-12-03T23:09:28.804Z;4;Masih terjaga kebersihannya;;;;;;;;;;;;;
Sembilan Beach;Farid;2022-11-19T04:22:07.152Z;5;Pantainya masih alami;;;;;;;;;;;;;
Sembilan Beach;Ismi Khaerunnisa;2022-11-17T09:27:46.784Z;5;Masuk kesini dikasih gratis sama penjaga pantainya baik banget. Namanya bang Saipul haha makasih banyak yaa bang. Mana mau direpotin lagi penjaga pantainya hahaha. Disuruh nganterin ke tengah laut yang ada rumah apungnya itu. Mau aja :( baik banget sumpah. Di tengah laut berenang sepuasnya di rumah apung itu. Berasa kaya berenang di kolam padahal itu tengah laut wkwk pantainya bersih. Vibes dateng malem sore pagi sampe siang pernah dialami disini hahaha udah kaya penduduk setempat aja dah. Dari air laut pasang sampe surut. Dari sunrise sampe sunset bahkan ampe panas tengah hari pun betah disini wkwk. Bisa camp disini. Tapi ada juga penginapannya dipinggir pantai. Enak banget itu. Bisa main banana boat disini. Tapi kalo mau snorkeling harus naik perahu dulu sejam ke tempat yang buat snorkelingnya. Abis basah-basahan di pantai enaknya makan mie goreng pake telor pake cabe. Duuuh makan mie with a view lah pokoknya dabest. Abis capek berenang terus makan mie emang surga dunia hahaha. Apalagi pantainya sepi gitu. Jadi kalo mau foto-foto enak. Gak banyak orang lalu lalang.;;;;;;;;;;;;;
Sembilan Beach;Madi Md;2022-11-15T02:59:39.893Z;5;Salah satu pantai wisata di pulau giligenting di pantainya ombaknya tenang dan bermain banana boats. sangat worth in untuk yang fall in love with samudera??;;;;;;;;;;;;;
Sembilan Beach;fina;2022-11-10T06:31:29.782Z;5;perjalanannya menikmati indahnya samudera;;;;;;;;;;;;;
Sembilan Beach;sugeng santosa;2022-11-05T05:02:35.113Z;4;Mantap buat healing gesss...;;;;;;;;;;;;;
Sembilan Beach;ozie s ampas;2022-11-04T21:31:00.331Z;4;Baik buat main di panatai atau yang mau nginap meikmati sunset ada tempat penginapan. Semoga suatu saat bisa berkunjung kembali;;;;;;;;;;;;;
Sembilan Beach;Lutfi Arifin;2022-10-30T03:51:50.156Z;5;Pantainya bagus;;;;;;;;;;;;;
Sembilan Beach;Diyan Nadira;2022-10-10T05:47:26.865Z;1;Dari Kabupaten pamekasan ke ka Kabupaten  sumenep pengen mengunjungi pantai sembilan hasilnya  mengecewakan. Berangkatnya 40ribu pulang nya 40 ribu. Karcis pantai 30 ribu. Janjian  gak bakalan  kesini lagi;;;;;;;;;;;;;
Sembilan Beach;parto bsm 07;2022-10-10T05:19:14.646Z;5;Tempat nya sangat rekom buat acara keluarga besar... ??????;;;;;;;;;;;;;
Sembilan Beach;Sugiarto Sugiarto;2022-10-01T01:51:29.116Z;5;NORKHOLIFA SAYANG  NARTO  SAYANG  MUHAMMAD  HOLEL;;;;;;;;;;;;;
Sembilan Beach;nafiah adawea;2022-09-24T00:58:00.975Z;5;"Baguss, CEO nya super ramah,, next time insyaallah berkunjung lagi.. Terimakasih pak SUTLAN ????""";;;;;;;;;;;;;
Sembilan Beach;Nwbex;2022-09-20T11:37:29.459Z;5;"Tahun 2020 pernah pulang, sama ponakan. Tahun 2022 pulang sama suami""";;;;;;;;;;;;;
Sembilan Beach;Rizal;2022-09-20T05:44:46.764Z;5;Pantai dengan ombak yang tenang dan cukup murah tiket masuk maupun penyeberangannya. Pasir putih dan tersedia penginapan tepi pantai yang murah dan cukup bagus. Perlu ditingkatkan kebersihan tepi pantainya oleh pengelola. Semoga tetap asri dan berkembang maju;;;;;;;;;;;;;
Sembilan Beach;Isfar Ahmad;2022-09-19T14:02:08.081Z;5;"Keren sih tempatnya buat liburan keluarga. Sempat makan siang di gazebo dg kuliner yg ada  muantabek.. Udaranya jg sejuk next mungkin fasumnya ditambah akan bs jd perhatian wisatawan. Ramaikan pantai Sembilan.""";;;;;;;;;;;;;
Sembilan Beach;siminchu aja;2022-09-14T23:06:43.632Z;5;kalau malam begitu eksotis... jadi pengin balik ke sini lagi ...;;;;;;;;;;;;;
Sembilan Beach;Azizah Fajar Budiani;2022-09-01T16:50:35.443Z;5;"Pantai Bersih, Pasir Putih, Laut Biru, Penginapan, Jajanan, Camp, Lengkap banget disana ???? Jatuh cinta pandangan pertama sama pantai ini?? Akses ke sana gampang banget  tinggal naik perahu yg super duper seru dan unik juga tinggal jalan sebentar dan nyampe deh ke pantainya. SANGAT RECOMMENDED buat kalian yg  mau liburan. Ingat ya  Jangan Buang Sampah Sembarang. Cintai Lingkungan mu  supaya nanti yg di wariskan ke anak cucu itu keindahan bukan sampah yg menumpuk Happy Holiday ??""";;;;;;;;;;;;;
Sembilan Beach;arwi yudhi;2022-08-25T07:37:34.894Z;5;konsep comunity based tourismnya bagus view pantai dan pasirnya halus bersih dan warnanya instagramable;;;;;;;;;;;;;
Sembilan Beach;Must Itjand;2022-08-25T07:21:51.470Z;5;Tempat wisata pantai yg rekomended indah bgt.. kesana pas weekday jd sepi warung2 pd tutup masuk jg gratis krn g ada yg jaga.. cuma bayar ongkos naik perahu aja.. cocok untuk wisata keluarga.;;;;;;;;;;;;;
Sembilan Beach;Yuliyanti Zane;2022-08-23T04:37:21.342Z;5;Air pantainya terlihat biru;;;;;;;;;;;;;
Sembilan Beach;Ramli Roly;2022-08-14T14:11:44.605Z;5;kades ramah pelayanan;;;;;;;;;;;;;
Sembilan Beach;Farhad Najib;2022-08-10T15:29:08.844Z;5;"Untuk ke pantai ini harus menaiki perahu kecil /perahu barang dari Pelabuhan Tanjung menuju Pulau Gili Genteng, biasanya beroperasi mulai pagi sampai sore. Kondisi pantai asri  air nya jernih. Sepanjang pantai banyak spot foto  warung-warung dan penginapan khas daerah setempat. Kabarnya pantai ini telah mengalami perkembangan dengan konsep ekowisata.. Rekomended untuk dikunjungi ??""";;;;;;;;;;;;;
Sembilan Beach;Edi Waloyo;2022-08-05T19:14:46.333Z;5;"Lautnya jernih tempak wisata dengan pasir. Ada penginapan dan banana boat. Yang hoby mancing pasti terpuaskan""";;;;;;;;;;;;;
Sembilan Beach;Ncep Samad;2022-08-05T09:31:02.339Z;4;pulau yg masih asri.. penduduk yg selalu ramah bagi para pemancing angler anhler mania cukup rekomended utk tempat memancing.. banyak spot spot mancing yg sangat menjanjikan;;;;;;;;;;;;;
Sembilan Beach;Agus Triyono;2022-08-03T12:56:40.958Z;5;Bagus....... Ada penginapan... Asyik;;;;;;;;;;;;;
Sembilan Beach;Sur Yadi;2022-08-03T12:54:59.206Z;3;Pantainya msh sama cuma takingnya sdh mulai kurang baik mungkin buat para pengelola bisa segera dperbaeki;;;;;;;;;;;;;
Sembilan Beach;Mazvil Channel;2022-08-02T22:47:27.142Z;3;Nyaman buat wisata keluarga;;;;;;;;;;;;;
Sembilan Beach;Ulfatul Hasanah;2022-08-01T16:07:50.276Z;5;Pemandangan nya MasyaAllah bagus banget. Surga dunia ??;;;;;;;;;;;;;
Sembilan Beach;Sobri Mnj;2022-08-01T03:07:22.543Z;5;Senja disini bagus beeettttt ?..!! Familiable;;;;;;;;;;;;;
Sembilan Beach;Ach Deydik Kurnia (dedikzein.com);2022-07-27T00:30:06.459Z;5;Pantai yang tenang dan nyaman;;;;;;;;;;;;;
Sembilan Beach;Yunus;2022-07-22T17:20:18.526Z;5;"Sangat bagus pemandangan. Bisa  nginep di tempat. Smoga kedepannya tambah bagus lagi""";;;;;;;;;;;;;
Sembilan Beach;tq yayuk;2022-07-21T00:48:07.787Z;5;Pantai yg indah  masih alami;;;;;;;;;;;;;
Sembilan Beach;fadlur rahman;2022-07-20T02:25:47.229Z;4;Wisata yang cocok untuk menghasilkan problematika kehidupan;;;;;;;;;;;;;
Sembilan Beach;willyane windarti;2022-07-19T03:23:43.652Z;5;View yang bagus..cocok buat healing tipis tipis..;;;;;;;;;;;;;
Sembilan Beach;Maryam Khadeeja;2022-07-15T11:45:35.151Z;5;"Pantainya bagus, lumayan banyak sampah, tolong buang sampah pada tempatnya, PP nyebrang naik kapal kecil +-30menit siap"""" mual bagi yg belum terbiasa";;;;;;;;;;;;;
Sembilan Beach;Tri Murti miurty;2022-07-15T08:18:35.056Z;5;Pantai bersih dan indah; rekan maupun sahabat. Saran bisa ditambah spot spot fotonya ?? kurang banyak... Semoga bisa diperindah lagi penampilannya...sehingga tambah mempesona. Recommended for healing.;;;;;;;;;;;;
Sembilan Beach;Tsurayya Kamila Novita;2022-07-15T03:51:26.283Z;5;Pantai yang sungguh cantik dengan pengelolaan yang baik. Fasilitas lengkap. Sangat cocok dijadikan tempat liburan bersama keluarga;;;;;;;;;;;;;
Sembilan Beach;dwi merak;2022-07-13T15:48:18.026Z;5;"Pantainya bagus dan lumayan bersih. Hanya sayangnya kurang luas. Tiket masuk 15rb. Tersedia tempat menginap 300rb (kamar mandi luar). Untuk mencapai pulau gili genting ini dengan menggunakan perahu dgn tarif 10rb per orang maupun sepeda motor. Upah menaikan dan menurunkan sepeda motor di pelabuhan tanjung hanya sebesar 2rb.""";selain tempatnya asik;;;;;;;;;;;;
Sembilan Beach;Repi;2022-07-09T13:31:42.950Z;5;Menyenangkan sekali;; jajanan disana juga sama murah murah sama dengan kios kios biasa;;;;;;;;;;;
Sembilan Beach;Andri safari Sobari;2022-07-07T12:03:03.202Z;5;Luar biasa; tempatnya bagus banget;;;;;;;;;;;;
Sembilan Beach;siti ningsih;2022-07-07T04:08:30.292Z;5;Nyebrang dari dermaga 1/2 jam;; tahun depan kesana lagi; penginapannya semalem ada yg 300rb ada yg 500rb. Kami yang 500rb bisa buat 5 orang;;;;;;;;;;
Sembilan Beach;Yudit Audiland;2022-07-05T13:40:23.680Z;4;Nyaman lah;;;;;;;;;;;;;
Sembilan Beach;herlina mega;2022-07-04T01:09:44.829Z;5;View sangat cantik tapi fasilitas belum cukup tapi gpp sudah bisa dibayar dengan kecantikan alam; bersih;;;;;;;;;;;;
Sembilan Beach;Agung Budiarjo;2022-07-03T13:55:24.609Z;5;pantainya keren; live musicnya rame; cottage nya juga nyaman; makanan oke; suasana pantai vibesnya dapet banget;;;;;;;;;
Sembilan Beach;Zig Zag;2022-06-25T14:04:16.368Z;1;Berisik;; suaranya fals; pokoknya gak worth it banget lah kalo mau tenangin diri kesini; yang ada malah nambah pikiran;;;;;;;;;
Sembilan Beach;Adiansyah moxer;2022-06-22T15:10:53.400Z;2;Cukup bagus air jerni pasir putih/ tapi sarana toilet mahal??;;;;;;;;;;;;;
Sembilan Beach;indro vertino (tino);2022-06-21T15:34:46.355Z;4;beautiful scenery. pretty hot wheather. small beach.;;;;;;;;;;;;;
Sembilan Beach;Nadyah Triasakti;2022-06-19T09:10:39.402Z;5;"Penyebrangan PP 20K. Tiket masuk 15K. Penginapan mulai harga 300 500  750 full ac""";;;;;;;;;;;;;
Sembilan Beach;Cink 20;2022-06-19T02:13:20.633Z;5;Bagus nyaman;;;;;;;;;;;;;
Sembilan Beach;Yoga Jalasena;2022-06-08T02:10:44.524Z;5;"Tempatnya bersih, pagi dan sore selalu ada mobil utk angkut sampah. Ombak nya sangat tenang. Harga terjangkau.""";;;;;;;;;;;;;
Sembilan Beach;Yessie Sandal;2022-06-07T12:30:50.192Z;5;Surga tersebunyi;;;;;;;;;;;;;
Sembilan Beach;elqi kifli;2022-06-05T00:34:30.716Z;5;Tempat yang cocok buat liburan keluarga.; nasi;;;;;;;;;;;;
Sembilan Beach;abang D;2022-06-02T00:28:45.637Z;3;Tempatnya sejuk dibawah pohon laut yg di hembus angin semilir pantai sebagai ac alami dari Allah. Hamparan Pemandangan laut yg luas dgn pulau2. Mushalla t4 ibadah ada dgn air tawar yg bersih. Kedai2 makanan kecil banyak bahkan makanan berat sekalipun ada; tenang nyaman; bakso; mieso; soto dll. Disini ada juga pondok2 t4 nginapnya gaes.;;;;;;;;;
Sembilan Beach;putri cantik;2022-05-26T14:08:46.107Z;4;Asseek;;;;;;;;;;;;;
Sembilan Beach;Hendrik Susanto;2022-05-26T07:15:14.416Z;5;Nyaman dan sejuk tempatnya;;;;;;;;;;;;;
Sembilan Beach;anggoro kheroxs;2022-05-25T08:05:16.103Z;4;Bagus cma dipasir pantainya agak kotor; hanya sedikit kurang bersih saja pasirnya karena ada beberapa sampah;;;;;;;;;;;;
Sembilan Beach;Ilham Sandri Koto;2022-05-25T04:47:07.747Z;4;Cukup bagus dan terawat;;;;;;;;;;;;;
Sembilan Beach;Ali Dhofir;2022-05-22T14:05:24.762Z;4;Bagus sekali??;;;;;;;;;;;;;
Sembilan Beach;moh atiqurrahman;2022-05-22T01:02:29.084Z;5;Pantai yang bagus buat menikmati sunset. ????; spot foto untuk area pantai dan laut tidak terlalu banyak. Tapi uniknya di pantai sembilan itu ada banyak cottage warna warni yang lucu;;;;;;;;;;;;
Sembilan Beach;Dwi Utaminingsih;2022-05-18T09:07:47.217Z;3;Untuk pantai dan lautnya bisa dibilang standar;; sayangnya waktu itu ramai orang jadi tidak bisa foto. Menurut orang lokal; pantai sembilan ini memang selalu ramai pengunjung.;;;;;;;;;;
Sembilan Beach;Siswanto Wanto;2022-05-17T10:06:07.847Z;4;Pantai indah dan masih alami;;;;;;;;;;;;;
Sembilan Beach;Aufa Niamillah;2022-05-17T03:23:44.809Z;5;bagus bngt airnya jernih;;;;;;;;;;;;;
Sembilan Beach;Bruto Shaberz;2022-05-13T03:31:13.460Z;5;Sangat seru perjalanan menuju ke pantai sembilan.harga pas di kantong; Sayang Agak Kotor kurang dijaga Kebersihan nya;;;;;;;;;;;;
Sembilan Beach;FAIS aje;2022-05-12T07:57:00.376Z;4;Pantai bagus;;;;;;;;;;;;;
Sembilan Beach;odii gestafesta;2022-05-11T14:57:06.549Z;5;Liburan tahunan??;;;;;;;;;;;;;
Sembilan Beach;Ahmad Solihul Hadi;2022-05-07T13:25:38.411Z;4;Keren banget pemandangan yagesya;;;;;;;;;;;;;
Sembilan Beach;sugianto satumin;2022-05-07T10:06:14.864Z;4;"Untuk daerah sumenep Ok juga"""; harga makanan murah;;;;;;;;;;;;
Sembilan Beach;Aan S;2022-05-07T02:27:26.335Z;4;Pantai sembilan di pulau gili genting; water and sands. Low budget also..; view bagus banget trutama ketika sunset. Tempat menginap standar; check in fleksibel kl kamar ready; selain itu bs sewa tenda dome kl berminat camping. Minus : banyak smpah dimana2; padahal tempat sampah disediakan banyak banget.;;;;;;;;
Sembilan Beach;Ilham Darmawan;2022-05-07T01:13:07.189Z;5;Beautiful beach;;;;;;;;;;;;;
Sembilan Beach;SOS DELIVERY;2022-05-06T22:53:17.841Z;1;"Kecewa banget, jauh t4nya. Hotel kurang layak. Mahal. Pelayanan jelek. Banyak pengeluaran. Pantai kotor dgn sampah""";;;;;;;;;;;;;
Sembilan Beach;MISBAHUL MUNIR46;2022-05-06T10:52:48.154Z;4;Tempat lumayan bagus tapi gak sebagus dulu lumayan dah; asik buat liburan bareng keluarga;;;;;;;;;;;;
Sembilan Beach;Indra Irawan;2022-05-04T05:14:52.438Z;4;Liburan murah meriah dgn keasrian pantainya;; atau rekan kerja. Fasilitas penginapan jg tersedia.;;;;;;;;;;;
Sembilan Beach;Opik Rujak;2022-05-03T02:41:31.393Z;5;Sangat tertarik;;;;;;;;;;;;;
Sembilan Beach;Zend Kyoshu;2022-04-17T06:40:15.258Z;5;Keindahan pulau yang alami terletak di pulau Madura khususnya di Sumenep; terletak di Pulau Gili Genting Kecamatan Gili Genting Kabupaten Sumenep. Pantai dengan Pasir putih dan akses yang sangat mudah sangat memudahkan orang yang ingin berkunjung ke Destinasi ini.;;;;;;;;;;;;
Sembilan Beach;Vicky Faisal;2022-04-16T00:43:34.826Z;5;Pantai Sembilan;;;;;;;;;;;;;
Sembilan Beach;Ryan Al Faidzin;2022-04-04T07:01:38.889Z;5;Lumayan bagus;;;;;;;;;;;;;
Sembilan Beach;Aab Lavendoez;2022-03-31T11:59:37.033Z;5;Kurang tempat yang adik; pasir bersih;;;;;;;;;;;;
Sembilan Beach;Darkdevil Reborn;2022-03-25T12:56:50.779Z;5;Wisata pantai favorit keluarga;; ombak tenang; penginapan terjangkau.;;;;;;;;;;
Sembilan Beach;ainur rahman;2022-03-19T18:18:52.851Z;5;Tempat yang bagus sekali;;;;;;;;;;;;;
Sembilan Beach;Regina Bacot;2022-03-15T14:28:57.172Z;5;bagus banget; enak buat sport camping atau honeymoon;;;;;;;;;;;;
Sembilan Beach;Punya Saya;2022-03-14T13:52:56.197Z;5;Tempatnya sangat nyaman dan bersih;;;;;;;;;;;;;
